stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;30.03.2015;25.0;0.0;;11.2;3.9
GME00132274;PIDING;31.03.2015;13.7;0.0;;18.2;3.4
GME00132274;PIDING;01.04.2015;3.1;10.0;;7.2;0.3
GME00132274;PIDING;02.04.2015;15.3;0.0;;7.8;0.8
GME00132274;PIDING;03.04.2015;0.2;0.0;;10.4;0.8
GME00132274;PIDING;04.04.2015;4.2;0.0;;5.6;2.1
GME00132274;PIDING;05.04.2015;0.0;0.0;;6.2;-0.3
GME00132274;PIDING;06.04.2015;3.6;0.0;;5.2;-0.5
GME00132274;PIDING;07.04.2015;0.0;10.0;;8.1;-0.7
GME00132274;PIDING;08.04.2015;0.0;0.0;;13.7;-1.1
GME00132274;PIDING;09.04.2015;0.0;0.0;;19.1;-2.3
GME00132274;PIDING;10.04.2015;0.0;0.0;;22.1;0.7
GME00132274;PIDING;11.04.2015;0.2;0.0;;18.5;3.1
GME00132274;PIDING;12.04.2015;0.0;0.0;;18.3;4.2
GME00132274;PIDING;13.04.2015;0.1;0.0;;18.4;2.6
GME00132274;PIDING;14.04.2015;0.0;0.0;;18.5;5.1
GME00132274;PIDING;15.04.2015;0.0;0.0;;23.7;4.4
GME00132274;PIDING;16.04.2015;0.3;0.0;;24.2;4.1
GME00132274;PIDING;17.04.2015;20.0;0.0;;13.5;7.7
GME00132274;PIDING;18.04.2015;0.0;0.0;;10.6;-0.6
GME00132274;PIDING;19.04.2015;0.0;0.0;;14.6;-2.9
GME00132274;PIDING;20.04.2015;0.0;0.0;;15.8;-1.7
GME00132274;PIDING;21.04.2015;0.0;0.0;;19.3;0.3
GME00132274;PIDING;22.04.2015;0.0;0.0;;21.6;1.9
GME00132274;PIDING;23.04.2015;2.8;0.0;;9.4;4.2
GME00132274;PIDING;24.04.2015;0.0;0.0;;18.9;1.6
GME00132274;PIDING;25.04.2015;0.9;0.0;;23.0;1.0
GME00132274;PIDING;26.04.2015;0.0;0.0;;21.3;6.2
GME00132274;PIDING;27.04.2015;0.0;0.0;;24.2;5.2
GME00132274;PIDING;28.04.2015;4.2;0.0;;14.2;3.4
GME00132274;PIDING;29.04.2015;0.0;0.0;;15.1;2.1
GME00132274;PIDING;30.04.2015;5.8;0.0;;14.2;4.3
GME00132274;PIDING;01.05.2015;11.4;;;12.3;7.2
GME00132274;PIDING;02.05.2015;5.9;;;14.4;8.4
GME00132274;PIDING;03.05.2015;3.8;;;17.2;9.3
GME00132274;PIDING;04.05.2015;0.3;;;21.7;12.0
GME00132274;PIDING;05.05.2015;0.0;;;28.1;10.9
GME00132274;PIDING;06.05.2015;10.7;;;16.6;4.6
GME00132274;PIDING;07.05.2015;0.0;;;18.7;6.4
GME00132274;PIDING;08.05.2015;0.0;;;23.5;5.3
GME00132274;PIDING;09.05.2015;10.1;;;17.5;10.1
GME00132274;PIDING;10.05.2015;0.0;;;20.2;7.6
GME00132274;PIDING;11.05.2015;0.0;;;23.9;5.0
GME00132274;PIDING;12.05.2015;0.0;;;28.2;4.8
GME00132274;PIDING;13.05.2015;13.6;;;23.9;13.3
GME00132274;PIDING;14.05.2015;5.1;;;19.6;10.9
GME00132274;PIDING;15.05.2015;3.0;;;15.6;10.7
GME00132274;PIDING;16.05.2015;0.6;;;21.3;11.7
GME00132274;PIDING;17.05.2015;0.3;;;17.2;9.3
GME00132274;PIDING;18.05.2015;6.3;;;24.6;6.4
GME00132274;PIDING;19.05.2015;26.2;;;16.0;10.5
GME00132274;PIDING;20.05.2015;17.8;;;10.8;6.6
GME00132274;PIDING;21.05.2015;6.8;;;10.7;6.3
GME00132274;PIDING;22.05.2015;16.9;;;12.8;8.1
GME00132274;PIDING;23.05.2015;19.8;;;10.5;7.3
GME00132274;PIDING;24.05.2015;0.1;;;13.7;7.1
GME00132274;PIDING;25.05.2015;5.5;;;17.8;8.8
GME00132274;PIDING;26.05.2015;12.3;;;12.7;8.7
GME00132274;PIDING;27.05.2015;0.0;;;13.2;6.2
GME00132274;PIDING;28.05.2015;0.0;;;21.7;2.6
GME00132274;PIDING;29.05.2015;0.3;;;25.1;5.5
GME00132274;PIDING;30.05.2015;1.0;;;19.8;11.7
GME00132274;PIDING;31.05.2015;5.0;;;23.6;8.3
GME00132274;PIDING;01.06.2015;7.7;;;25.6;9.8
GME00132274;PIDING;02.06.2015;0.0;;;26.2;13.6
GME00132274;PIDING;03.06.2015;0.0;;;28.5;12.6
GME00132274;PIDING;04.06.2015;0.0;;;28.6;12.1
GME00132274;PIDING;05.06.2015;0.0;;;29.0;11.9
GME00132274;PIDING;06.06.2015;0.0;;;30.8;13.4
GME00132274;PIDING;07.06.2015;0.1;;;28.8;14.4
